IDUR,NO,BIDANG,KODE,KATEGORI,KETERANGAN,TOTAL,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER
1,14,SEKRETARIAT,OT-01-14,Gaji Staff,THR staff koordinator unit,400.000,,,,400.000,,,,,,,,
1,15,SEKRETARIAT,OT-01-15,Gaji Staff,HR staff sekretariat,20.400.000,1.700.000,1.700.000,1.700.000,1.700.000,1.700.000,1.700.000,1.700.000,1.700.000,1.700.000,1.700.000,1.700.000,1.700.000
1,16,SEKRETARIAT,OT-01-16,Gaji Staff,HR staff keuangan,12.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000
1,17,SEKRETARIAT,OT-01-17,Gaji Staff,HR staff koordinator unit,12.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000
1,18,SEKRETARIAT,OT-01-18,Hampers & Gift,Hampers Pembina,1.000.000,,,1.000.000,,,,,,,,,
1,19,SEKRETARIAT,OT-01-19,Hampers & Gift,Hampers Pengawas,800.000,,,800.000,,,,,,,,,
1,20,SEKRETARIAT,OT-01-20,THR & Tunjangan,THR Pengurus,2.800.000,,,2.800.000,,,,,,,,,
1,21,SEKRETARIAT,OT-01-21,THR & Tunjangan,THR Unit Bidang,1.000.000,,,1.000.000,,,,,,,,,
1,22,SEKRETARIAT,OT-01-22,Seragam & Perlengkapan,Seragam staff sekretariat,2.000.000,,,2.000.000,,,,,,,,,
1,23,SEKRETARIAT,OT-01-23,IT & Aplikasi,Develop Aplikasi & Biaya Hosting Aplikasi,4.500.000,,,,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000
1,24,SEKRETARIAT,OT-01-24,Publikasi & Dokumentasi,Cetak buku AD ART,0,,,,,,,,,,,,
1,25,SEKRETARIAT,OT-01-25,Publikasi & Dokumentasi,Penyusunan Sejarah Al Muhajirin,0,,,,,,,,,,,,
1,26,SEKRETARIAT,OT-01-26,Event & Kegiatan,Family Gathering/Raker,10.000.000,,,,,,,,,,,10.000.000,
1,27,SEKRETARIAT,OT-01-27,Event & Kegiatan,Pengurusan KBIH Depag,2.000.000,,,,,,,,,2.000.000,,,
2,1,PEMELIHARAAN & PEMBANGUNAN,OT-02-01,Perbaikan Aset,Perbaikan Aset,7.200.000,600.000,600.000,600.000,600.000,600.000,600.000,600.000,600.000,600.000,600.000,600.000,600.000
2,2,PEMELIHARAAN & PEMBANGUNAN,OT-02-02,Pemeliharaan Rutin,Pemeliharaan Aset,24.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000
2,3,PEMELIHARAAN & PEMBANGUNAN,OT-02-03,Pengadaan & Kontrak,Pengadaan dan Pengelolaan Kontrak Vendor,0,,,,,,,,,,,,
2,4,PEMELIHARAAN & PEMBANGUNAN,OT-02-04,Perencanaan & Pengembangan,"Pengembangan Perencanaan (Survei, Drawing, dst) Master Plan",1.000.000,,,,,,,,1.000.000,,,,
2,5,PEMELIHARAAN & PEMBANGUNAN,OT-02-05,Koordinasi & Perencanaan,Koordinasi Proyek Pembangunan Baru,0,,,,,,,,,,,,
2,6,PEMELIHARAAN & PEMBANGUNAN,OT-02-06,Koordinasi & Perencanaan,Penyusunan Rencana Anggaran Pembangunan,0,,,,,,,,,,,,
2,7,PEMELIHARAAN & PEMBANGUNAN,OT-02-07,Proyek Renovasi,Pelaksanaan Renovasi Terencana (Poliklinik - Renov dan AC),0,,,,,,,,,,,,
2,8,PEMELIHARAAN & PEMBANGUNAN,OT-02-08,Proyek Renovasi,Pelaksanaan Renovasi Terencana (Daycare - Renov Atas),0,,,,,,,,,,,,
2,9,PEMELIHARAAN & PEMBANGUNAN,OT-02-09,Proyek Renovasi,Pelaksanaan Renovasi Terencana (KBTK - Tambah Daya),0,,,,,,,,,,,,
2,10,PEMELIHARAAN & PEMBANGUNAN,OT-02-10,Proyek Renovasi,Pelaksanaan Renovasi Terencana (KBTK - Talang),0,,,,,,,,,,,,
2,11,PEMELIHARAAN & PEMBANGUNAN,OT-02-11,Proyek Renovasi,Pelaksanaan Renovasi Terencana (Masjid - Renov KM),0,,,,,,,,,,,,
2,12,PEMELIHARAAN & PEMBANGUNAN,OT-02-12,Proyek Renovasi,Pelaksanaan Renovasi Terencana (Masjid - Jalan Disabilitas),0,,,,,,,,,,,,
2,13,PEMELIHARAAN & PEMBANGUNAN,OT-02-13,Proyek Renovasi,Pelaksanaan Renovasi Terencana (Masjid - Jembatan Pintu Barat),0,,,,,,,,,,,,
2,14,PEMELIHARAAN & PEMBANGUNAN,OT-02-14,Proyek Renovasi,Pelaksanaan Renovasi Terencana (meninggikan kolam),20.000.000,,,,,,20.000.000,,,,,,
2,15,PEMELIHARAAN & PEMBANGUNAN,OT-02-15,Proyek Renovasi,Pelaksanaan Renovasi Terencana (Gudang - Renov),0,,,,,,,,,,,,
2,16,PEMELIHARAAN & PEMBANGUNAN,OT-02-16,Operasional,Penanganan Mendesak Perbaikan Fasilitas,0,,,,,,,,,,,,
2,17,PEMELIHARAAN & PEMBANGUNAN,OT-02-17,Pemeliharaan Rutin,Program Pelatihan Keselamatan dan Pemeliharaan,0,,,,,,,,,,,,
2,18,PEMELIHARAAN & PEMBANGUNAN,OT-02-18,Audit & Evaluasi,Audit dan Evaluasi Aset Yayasan,0,,,,,,,,,,,,
2,19,PEMELIHARAAN & PEMBANGUNAN,OT-02-19,Audit & Evaluasi,Pembaruan Inventaris dan Penilaian Aset,0,,,,,,,,,,,,
3,1,KEBERSIHAN KEAMANAN,OT-03-01,Pelatihan & Pengembangan,Pelatihan petugas kebersihan (semua),400.000,100.000,,,100.000,,,100.000,,,100.000,,
3,2,KEBERSIHAN KEAMANAN,OT-03-02,Gaji & Kompensasi,Hire Petugas Umum,8.400.000,700.000,700.000,700.000,700.000,700.000,700.000,700.000,700.000,700.000,700.000,700.000,700.000
3,3,KEBERSIHAN KEAMANAN,OT-03-03,Rapat & Koordinasi,Rapat koordinasi dengan unit lain,0,,,,,,,,,,,,
3,4,KEBERSIHAN KEAMANAN,OT-03-04,Alat & Bahan Kebersihan,Pengadaan alat dan bahan kebersihan,2.400.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000
3,5,KEBERSIHAN KEAMANAN,OT-03-05,Alat & Bahan Kebersihan,Pembaruan sistem (alat/perangkat) keamanan,0,0,,,,,,,,,,,
3,6,KEBERSIHAN KEAMANAN,OT-03-06,Operasional Kebersihan,Pembersihan berkala dan iuran sampah ,2.400.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000
3,7,KEBERSIHAN KEAMANAN,OT-03-07,Operasional Kebersihan,Biaya Potong Rumput,1.200.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
3,8,KEBERSIHAN KEAMANAN,OT-03-08,Operasional Keamanan,Patroli keamanan,300.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000
3,9,KEBERSIHAN KEAMANAN,OT-03-09,Operasional Keamanan,CCTV Lapangan,0,,,,,,,,,,,,
3,10,KEBERSIHAN KEAMANAN,OT-03-10,Operasional Keamanan,Keamanan Jum'at,5.400.000,400.000,500.000,500.000,500.000,400.000,400.000,500.000,500.000,400.000,400.000,500.000,400.000
3,11,KEBERSIHAN KEAMANAN,OT-03-11,Operasional Keamanan,Buat Karcis Parkir dan Rambu Keamanan,300.000,50.000,,,50.000,,,50.000,,,50.000,50.000,50.000
3,12,KEBERSIHAN KEAMANAN,OT-03-12,Operasional Keamanan,Seragam Petugas Keamanan/Kebersihan,500.000,500.000,,,,,,,,,,,
4,1,KEHUMASAN,OT-04-01,Perangkat & Alat,Perangkat publikasi Kamera,5.000.000,5.000.000,,,,,,,,,,,
4,2,KEHUMASAN,OT-04-02,Publikasi Unit,Kehumasan/Publikasi untuk Usaha,0,,,,,,,,,,,,
4,3,KEHUMASAN,OT-04-03,Publikasi Unit,Kehumasan/Publikasi untuk Masjid,8.400.000,700.000,700.000,700.000,700.000,700.000,700.000,700.000,700.000,700.000,700.000,700.000,700.000
4,4,KEHUMASAN,OT-04-04,Publikasi Unit,Kehumasan/Publikasi untuk Remas MKidz,0,,,,,,,,,,,,
4,5,KEHUMASAN,OT-04-05,Publikasi Unit,Kehumasan/Publikasi untuk Kemuslimahan,0,,,,,,,,,,,,
4,6,KEHUMASAN,OT-04-06,Publikasi Unit,Kehumasan/Publikasi untuk DC,0,,,,,,,,,,,,
4,7,KEHUMASAN,OT-04-07,Publikasi Unit,Kehumasan/Publikasi untuk KBTK,0,,,,,,,,,,,,
4,8,KEHUMASAN,OT-04-08,Publikasi Unit,Kehumasan/Publikasi untuk TPQ,0,,,,,,,,,,,,
4,9,KEHUMASAN,OT-04-09,Publikasi Unit,Kehumasan/Publikasi untuk Poliklinik & Kesehatan,0,,,,,,,,,,,,
4,10,KEHUMASAN,OT-04-10,Publikasi Unit,"Kehumasan/Publikasi untuk Ambulans, Tanggap Bencana",0,,,,,,,,,,,,
4,11,KEHUMASAN,OT-04-11,Publikasi Unit,Kehumasan/Publikasi untuk Sakit/Kematian,0,,,,,,,,,,,,
4,12,KEHUMASAN,OT-04-12,Publikasi Unit,Kehumasan/Publikasi untuk LAZ,0,,,,,,,,,,,,
4,19,KEHUMASAN,OT-04-19,Operasional,Publikasi 'pers' ke jama'ah,0,,,,,,,,,,,,
4,13,KEHUMASAN,OT-04-13,Strategi Komunikasi,Susun strategi komunikasi yayasan,0,,,,,,,,,,,,
4,20,KEHUMASAN,OT-04-20,Dokumentasi,Dokumentasi kegiatan,0,,,,,,,,,,,,
4,14,KEHUMASAN,OT-04-14,Media Cetak,Desain dan Cetak kalender,7.000.000,7.000.000,,,,,,,,,,,
4,15,KEHUMASAN,OT-04-15,Media Digital,Develop & Perbarui website,250.000,250.000,,,,,,,,,,,
4,16,KEHUMASAN,OT-04-16,Media Digital,Kampanye media sosial,0,,,,,,,,,,,,
4,18,KEHUMASAN,OT-04-18,Media Cetak,Produksi buletin Idul Fitri & Idul Adha,0,,,,,,,,,,,,
4,17,KEHUMASAN,OT-04-17,Pelatihan & Pengembangan,Workshop keterampilan kehumasan,0,,,,,,,,,,,,
4,21,KEHUMASAN,OT-04-21,Database & Sistem Informasi,Database Jama'ah,0,,,,,,,,,,,,
4,21,KEHUMASAN,,Media Digital,Berlangganan CANVA tahunan,2.100.000,2.100.000,,,,,,,,,,,
5,1,USAHA & PENGADAAN,OT-05-01,Identifikasi Sumber Dana,Identifikasi dan Penjajakan Sumber Dana Baru,0,,,,,,,,,,,,
5,6,USAHA & PENGADAAN,OT-05-06,Pengembangan Usaha,Analisis Pasar untuk Pengembangan Usaha,0,,,,,,,,,,,,
5,2,USAHA & PENGADAAN,OT-05-02,Pengembangan Usaha,Pengembangan Inisiatif Usaha,0,,,,,,,,,,,,
5,3,USAHA & PENGADAAN,OT-05-03,Penggalangan Dana,Pembaruan Strategi Penggalangan Dana,0,,,,,,,,,,,,
5,4,USAHA & PENGADAAN,OT-05-04,Monitoring & Pelaporan,Pengelolaan dan Pemantauan Usaha Berjalan,0,,,,,,,,,,,,
5,5,USAHA & PENGADAAN,OT-05-05,Monitoring & Pelaporan,Pembuatan Laporan Keuangan Berkala,0,,,,,,,,,,,,
5,7,USAHA & PENGADAAN,OT-05-07,Koordinasi,Koordinasi dengan Unit Lain untuk Sinergi Usaha,0,,,,,,,,,,,,
5,8,USAHA & PENGADAAN,OT-05-08,Pengembangan Kapasitas,Peningkatan Kapasitas Usaha,0,,,,,,,,,,,,
5,9,USAHA & PENGADAAN,OT-05-09,Koperasi,Pembentukan Koperasi,0,,,,,,,,,,,,
5,10,USAHA & PENGADAAN,OT-05-10,Program Start-up,Start-up Program Usaha Umroh & Haji,0,,,,,,,,,,,,
5,11,USAHA & PENGADAAN,OT-05-11,Program Start-up,Start-up Program Usaha Aqiqoh & Makanan,0,,,,,,,,,,,,
5,12,USAHA & PENGADAAN,OT-05-12,Program Start-up,Start-up Program Usaha Analisa Bakat Sidik Jari,0,,,,,,,,,,,,
5,13,USAHA & PENGADAAN,OT-05-13,Program Start-up,Start-up Program Wedding Organizer,0,,,,,,,,,,,,
5,14,USAHA & PENGADAAN,OT-05-14,Program Start-up,Kajian Ulang Pendirian SD,0,,,,,,,,,,,,
5,15,USAHA & PENGADAAN,OT-05-15,Program Qurban,Penyediaan Hewan Qurban,550.000.000,,,,,550.000.000,,,,,,,
5,16,USAHA & PENGADAAN,OT-05-16,Program Zakat Fitrah,Penyediaan Beras Zakat Fitrah,0,,,,,,,,,,,,
6,1,KEDAI,OT-06-01,Operasional Kedai,Perbaikan minor kedai,0,,,,,,,,,,,,
6,2,KEDAI,OT-06-02,Kemitraan & Vendor,Kolaborasi dengan Vendor Makanan / Tenant,900.000,,300.000,300.000,300.000,,,,,,,,
6,3,KEDAI,OT-06-03,Evaluasi & Survey,Survey Kepuasan Pelanggan,0,,,,,,,,,,,,
7,1,KOLAM RENANG,OT-07-01,Pemeliharaan & Perbaikan,Pemeliharaan Rutin Kolam Renang,1.080.000,90.000,90.000,90.000,90.000,90.000,90.000,90.000,90.000,90.000,90.000,90.000,90.000
7,2,KOLAM RENANG,OT-07-02,Pemeliharaan & Perbaikan,Pengadaan dan Pemeliharaan Peralatan Keselamatan,0,,,,,,,,,,,,
7,3,KOLAM RENANG,OT-07-03,Pemeliharaan & Perbaikan,Pemeliharaan/Perbaikan Insidentil,1.000.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,,
7,4,KOLAM RENANG,OT-07-04,Pemeliharaan & Perbaikan,Obat-Obatan Pembersih,3.000.000,,,,,,,1.500.000,,,,,1.500.000
7,5,KOLAM RENANG,OT-07-05,Alat & Perlengkapan,Pelampung Karakter,0,0,,,,,,,,,,,
7,6,KOLAM RENANG,OT-07-06,Administrasi,Penjadwalan Penggunaan Kolam Renang,0,,,,,,,,,,,,
7,7,KOLAM RENANG,OT-07-07,Administrasi,Manajemen Administrasi Kolam Renang,0,,,,,,,,,,,,
7,8,KOLAM RENANG,OT-07-08,Pelatihan & Keselamatan,Pelatihan Keselamatan dan P3K,0,,,,,,,,,,,,
7,9,KOLAM RENANG,OT-07-09,Program & Kegiatan,Program Kelas Renang untuk KBTK,0,,,,,,,,,,,,
7,10,KOLAM RENANG,OT-07-10,Koordinasi,Koordinasi dengan Unit KBTK,0,,,,,,,,,,,,
7,11,KOLAM RENANG,OT-07-11,Utilities,PDAM,18.000.000,1.500.000,1.500.000,1.500.000,1.500.000,1.500.000,1.500.000,1.500.000,1.500.000,1.500.000,1.500.000,1.500.000,1.500.000
7,12,KOLAM RENANG,OT-07-12,Gaji & Kompensasi,HR Petugas Kebersihan,12.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000
7,13,KOLAM RENANG,OT-07-13,Gaji & Kompensasi,THR,0,,,,,,,,,,,,
7,14,KOLAM RENANG,OT-07-14,Promosi & Marketing,Promosi (Banner/Brosur),240.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000
7,15,KOLAM RENANG,OT-07-15,Pengembangan & Perbaikan,Renovasi Kolam Renang,0,,,,,,,,,,,,
8,1,KETAKMIRAN,OT-08-01,Alokasi Operasional,Alokasi Operasional Sekretariat,120.000.000,10.000.000,10.000.000,10.000.000,10.000.000,10.000.000,10.000.000,10.000.000,10.000.000,10.000.000,10.000.000,10.000.000,10.000.000
8,2,KETAKMIRAN,OT-08-02,ATK & Percetakan,Fotocopy / percetakan / ATK,1.800.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000
8,3,KETAKMIRAN,OT-08-03,Gaji & Honor,Gaji Marbot dan Muadzin,48.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000
8,4,KETAKMIRAN,OT-08-04,Gaji & Honor,Gaji Petugas Kebersihan,6.000.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000
8,5,KETAKMIRAN,OT-08-05,Pengajian Rutin,Pengajian Ahad ba'da Magrib,15.300.000,1.500.000,1.200.000,1.200.000,1.200.000,1.200.000,1.500.000,1.200.000,1.200.000,1.200.000,1.200.000,1.200.000,1.500.000
8,6,KETAKMIRAN,OT-08-06,Pengajian Rutin,Pengajian Ahad Subuh,16.500.000,1.600.000,1.300.000,1.300.000,1.300.000,1.300.000,1.600.000,1.300.000,1.300.000,1.300.000,1.300.000,1.300.000,1.600.000
8,7,KETAKMIRAN,OT-08-07,Pengajian Rutin,Pengajian Rabu Maghrib,6.000.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000
8,8,KETAKMIRAN,OT-08-08,Pengajian Rutin,"Pengajian Kamis, Subuh",12.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000
8,9,KETAKMIRAN,OT-08-09,Pengajian Rutin,Pengajian Selasa ba'da Magrib,9.000.000,750.000,750.000,750.000,750.000,750.000,750.000,750.000,750.000,750.000,750.000,750.000,750.000
8,10,KETAKMIRAN,OT-08-10,Pengajian Rutin,Pengajian Nur Muhajirin,4.000.000,800.000,,,,800.000,,800.000,,800.000,,800.000,
8,11,KETAKMIRAN,OT-08-11,Pengajian Rutin,Pengajian Riyadush S & Siroh N,9.600.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000
8,12,KETAKMIRAN,OT-08-12,Program Hari Besar Islam,Peringatan Isra Mi’raj,0,,0,0,,,,,,,,,
8,13,KETAKMIRAN,OT-08-13,Program Hari Besar Islam,Project Rangkaian Program Ramadhan,32.500.000,,,,32.500.000,,,,,,,,
8,14,KETAKMIRAN,OT-08-14,Program Hari Besar Islam,Halal Bihalal Syawal,3.500.000,,,,3.500.000,,,,,,,,
8,15,KETAKMIRAN,OT-08-15,Program Hari Besar Islam,Rangkaian Idul Adha (Sholat Idul Adha),2.500.000,,,,,,2.500.000,,,,,,
8,16,KETAKMIRAN,OT-08-16,Program Hari Besar Islam,Peringatan Maulid,0,,,,,,,,,0,,,
8,17,KETAKMIRAN,OT-08-17,Program Hari Besar Islam,Peringatan Tahun Baru Hijriyah,0,,,,,,,0,,,,,
8,18,KETAKMIRAN,OT-08-18,Program Hari Besar Islam,Kegiatan Sholat Gerhana,1.500.000,500.000,500.000,500.000,,,,,,,,,
8,19,KETAKMIRAN,OT-08-19,Kajian Akbar,Kajian Akbar/Tematik Narasumber Regional,1.500.000,,,,,,1.500.000,,,,,,
8,20,KETAKMIRAN,OT-08-20,Kajian Akbar,Kajian Akbar/Tematik Narasumber Nasional,2.500.000,,,,,,,,2.500.000,,,,
8,21,KETAKMIRAN,OT-08-21,Kegiatan Sosial,Kegiatan Sosial Komunitas,0,,,,,,,,,,,,
8,22,KETAKMIRAN,OT-08-22,Konsumsi & Katering,Nasi bungkus jumat berkah,153.000.000,15.000.000,12.000.000,12.000.000,15.000.000,15.000.000,12.000.000,12.000.000,12.000.000,12.000.000,12.000.000,12.000.000,12.000.000
8,23,KETAKMIRAN,OT-08-23,Konsumsi & Katering,Pengajian Ahad ke 5 + Konsumsi,3.000.000,1.000.000,,,,,1.000.000,,,,,,1.000.000
8,24,KETAKMIRAN,OT-08-24,Konsumsi & Katering,Konsumsi kajian dan takjil,24.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000,2.000.000
8,25,KETAKMIRAN,OT-08-25,Konsumsi & Katering,Makanan minuman tamu,2.400.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000
8,26,KETAKMIRAN,OT-08-26,Konsumsi & Katering,Konsumsi rapat,2.400.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000
8,27,KETAKMIRAN,OT-08-27,Konsumsi & Katering,Air minum Jumat dan Harian,16.800.000,1.400.000,1.400.000,1.400.000,1.400.000,1.400.000,1.400.000,1.400.000,1.400.000,1.400.000,1.400.000,1.400.000,1.400.000
8,28,KETAKMIRAN,OT-08-28,Pembinaan & Pelatihan,Ikrar mua'alaf,0,,,,,,,,,,,,
8,29,KETAKMIRAN,OT-08-29,Pembinaan & Pelatihan,Pelatihan Mualaf dan Penghijrah,0,,,,,,,,,,,,
8,30,KETAKMIRAN,OT-08-30,Pemeliharaan & Kebersihan,Pembersihan kipas angin,2.400.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000,200.000
8,31,KETAKMIRAN,OT-08-31,Pemeliharaan & Kebersihan,Pembersihan AC Standing Floor 6 Unit,1.600.000,,,,,,800.000,,,800.000,,,
8,32,KETAKMIRAN,OT-08-32,Pemeliharaan & Kebersihan,Pembersihan AC Split 10 Unit,1.600.000,,,,,,800.000,,,800.000,,,
8,33,KETAKMIRAN,OT-08-33,Pemeliharaan & Kebersihan,Pembersihan karpet 2 kali 483m x 11.000,10.626.000,5.313.000,,,,5.313.000,,,,,,,
8,34,KETAKMIRAN,OT-08-34,Pemeliharaan & Kebersihan,Perlengkapan / kebersihan,9.000.000,750.000,750.000,750.000,750.000,750.000,750.000,750.000,750.000,750.000,750.000,750.000,750.000
8,35,KETAKMIRAN,OT-08-35,Program Kesehatan,Program Kesehatan Jama'ah,0,0,0,0,0,0,0,0,0,0,0,0,0
8,36,KETAKMIRAN,OT-08-36,Program Tahfidz,Program Tahfidz Al-Qur'an,0,0,0,0,0,0,0,0,0,0,0,0,0
8,37,KETAKMIRAN,OT-08-37,Proyek Infrastruktur,Proyek Tempat Wudhu,200.000.000,200.000.000,,,,,,,,,,,
8,38,KETAKMIRAN,OT-08-38,Proyek Infrastruktur,Proyek Karpet Masjid,50.000.000,50.000.000,,,,,,,,,,,
8,39,KETAKMIRAN,OT-08-39,Proyek Infrastruktur,Proyek Akses Pintu Masuk Barat,20.000.000,20.000.000,,,,,,,,,,,
8,40,KETAKMIRAN,OT-08-40,Proyek Infrastruktur,Pengadaan Loker Sepatu/Sandal,15.000.000,15.000.000,,,,,,,,,,,
8,41,KETAKMIRAN,OT-08-41,Rihlah & Wisata,Program Rihlah Ketakmiran,0,,,,0,,,,,,,,
8,42,KETAKMIRAN,OT-08-42,Seragam & Perlengkapan,Seragam/sarung Marbot,600.000,,,,600.000,,,,,,,,
8,43,KETAKMIRAN,OT-08-43,Seragam & Perlengkapan,Seragam Takmir,0,,,,,,,,,,,,
8,44,KETAKMIRAN,OT-08-44,Transport & Komunikasi,Transport petugas,1.200.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
8,45,KETAKMIRAN,OT-08-45,Transport & Komunikasi,Bantuan Pulsa Sekretariat,1.800.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000,150.000
8,46,KETAKMIRAN,OT-08-46,Transport Khatib,Transport Khatib Jum'atan,20.400.000,1.600.000,1.600.000,1.600.000,1.600.000,2.000.000,1.600.000,1.600.000,2.000.000,1.600.000,1.600.000,2.000.000,1.600.000
8,47,KETAKMIRAN,OT-08-47,Utilities,Rekening Listrik Masjid,60.000.000,5.000.000,5.000.000,5.000.000,5.000.000,5.000.000,5.000.000,5.000.000,5.000.000,5.000.000,5.000.000,5.000.000,5.000.000
8,48,KETAKMIRAN,OT-08-48,Utilities,Rekening WIFI Masjid,7.200.000,600.000,600.000,600.000,600.000,600.000,600.000,600.000,600.000,600.000,600.000,600.000,600.000
8,49,KETAKMIRAN,OT-08-49,Utilities,Rekening PDAM Masjid,4.200.000,350.000,350.000,350.000,350.000,350.000,350.000,350.000,350.000,350.000,350.000,350.000,350.000
8,50,KETAKMIRAN,OT-08-50,Utilities,Honor Teknisi Listrik dan Sound,4.200.000,350.000,350.000,350.000,350.000,350.000,350.000,350.000,350.000,350.000,350.000,350.000,350.000
9,1,REMASKIDZ,OT-09-01,Kegiatan & Program,Kegiatan Remas/Muhajirin Kidz,9.000.000,500.000,500.000,500.000,1.500.000,500.000,500.000,500.000,1.500.000,500.000,500.000,500.000,1.500.000
9,2,REMASKIDZ,OT-09-02,Seragam & Perlengkapan,Seragam MKIDZ,0,,,,,,,,,,,,
9,3,REMASKIDZ,OT-09-03,Event Khusus,Festival Anak Yatim,0,,,,,,,,,,,,
